x,Curve1
3500,0
4017.47,38.3713
4061.14,39.9392
4113.54,41.8555
4165.94,43.2486
4227.07,45.6878
4270.74,47.2556
4323.14,49.5208
4358.08,51.089
4410.48,53.5286
4445.41,55.0969
4497.82,57.362
4558.95,58.5803
4637.55,60.6699
4689.96,62.0629
4759.83,64.3273
4812.23,65.7204
4882.1,67.8104
4934.5,69.2034
5004.37,71.2934
5082.97,71.4644
5213.97,71.2843
5301.31,71.4549
5414.85,72.6709
5484.72,73.5399
5606.99,73.709
5685.59,73.0079
5711.79,71.9602
5790.39,71.7824
5973.8,68.6349
6034.93,67.4113
6104.8,65.8385
6157.21,64.4408
6235.81,62.3444
6288.21,60.9467
6349.34,58.6766
6393.01,57.2794
6462.88,55.0089
6506.55,53.4372
6558.95,50.9931
6593.89,49.4218
6646.29,47.1521
6689.96,45.5804
6742.36,43.1362
6777.29,41.5649
6829.69,39.1208
6864.63,37.5495
6908.3,35.2802
6951.97,33.7085
7004.37,31.2643
7039.3,29.6931
7091.7,27.2489
7135.37,25.6772
7187.77,23.4075
7231.44,21.8358
7292.58,19.5657
7344.98,18.1681
7397.38,16.0728
7449.78,14.6752
7528.38,12.4043
7580.79,11.0067
7650.66,9.085
7711.79,7.8614
7807.86,5.93861
7877.73,4.88905
7982.53,3.48913
8061.14,2.78803
8183.41,1.91061
8270.74,1.38354
8410.48,0.15652
8497.82,0.152711
8497.82,0.152711
8585.15,0.148903
8663.76,0.319894
8742.36,0.142048
8812.23,0.139002
8899.56,0.135193
8986.9,0.131385
